N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
1500	92.2	63.3	69.3	55.2	15.1	7.7	70.9269440496458	79.5081967213115	215	1348	175	0.849378881987578	0.333333333333333	10000	75.0644372990354	61.4515662650602	10.1991228070175	MIX
3000	92.2	62.8	69.9	55.1	15.5	7.8	70.7992240058408	78.8052373158756	220	1377	176	0.857142857142857	0.388888888888889	10000	74.7117419354839	61.62384	10.3776824034335	MIX
5000	92.3	62.9	70.1	55.3	15.4	7.6	71.2345850285663	79.3248945147679	218	1404	167	0.850931677018634	0.222222222222222	10000	74.8153350515464	61.82663476874	10.1773913043478	MIX
800	92.2	62.9	67.9	54.5	14.2	7.2	70.491086627353	79.0091264667536	201	1359	183	0.826086956521739	0.5	10000	74.7824629271438	60.4665032679739	9.55514018691589	MIX
500	91.9	64.7	67.2	54.7	13	7	70.8140858026503	78.8216560509554	184	1193	189	0.824534161490683	0.555555555555556	10000	75.9378033205619	60.3091058244463	9.1	MIX
1000	92.2	63.2	68.7	55	14.8	7.5	71.1888110327224	79.5911424449059	210	1345	173	0.840062111801242	0.444444444444444	10000	74.9940797940798	61.0913500404204	9.95515695067265	MIX
200	89.5	65.8	61.5	52.4	10.4	5.9	68.1451141297636	74.8917748917749	148	1089	217	0.793478260869565	0.555555555555556	10000	75.841596909208	56.5864793678665	7.52883435582822	MIX
2000	92.1	62.6	69.3	54.8	15.5	7.7	70.5539231645344	78.8487939989846	220	1379	173	0.849378881987578	0.333333333333333	10000	74.5372979961215	61.202900886382	10.2887931034483	MIX
2000	91.3	70.7	70.5	61.6	17.3	10.9	74.0089993103226	83.7100039522185	246	849	191	0.849378881987578	0.444444444444444	2500	79.6902469135802	65.7501892505678	13.3737588652482	MIX
4000	91.9	70.3	71.6	61.8	18.2	11	74.7242697175793	84.3065693430657	258	930	176	0.864906832298137	0.277777777777778	2500	79.6617755856967	66.3400299850075	13.7123287671233	MIX
500	89.9	73.2	68	62.1	16	11.1	73.6863268521393	82.96271077601	227	695	214	0.826086956521739	0.333333333333333	2500	80.6950337216432	64.9162182936203	13.1070110701107	MIX
5000	91.9	70.7	72.1	62.4	18.1	11.1	74.7980924037679	84.8270559716343	257	917	179	0.860248447204969	0.333333333333333	2500	79.9179581795818	66.9002230483271	13.7609589041096	MIX
1500	91.2	71.3	70.6	62	17.2	11.1	74.2535773922056	83.7370242214533	245	800	189	0.846273291925466	0.333333333333333	2500	80.0315076923077	66.0211161387632	13.4925795053004	MIX
3000	91.7	70.1	71.1	61.3	17.1	10.3	74.1109123260247	83.9896839527258	244	937	182	0.861801242236025	0.388888888888889	2500	79.4582200247219	65.8373111782477	12.856204379562	MIX
800	90.6	72.4	69.1	62.1	17.5	11.6	74.1588763473872	83.4331337325349	248	762	205	0.850931677018634	0.388888888888889	2500	80.4839263803681	65.4132621951219	13.9518900343643	MIX
1000	91	71.4	69.8	61.8	17.3	11.1	74.3714535445533	83.9912423390443	245	825	189	0.850931677018634	0.5	2500	80.0172413793103	65.5568389057751	13.5232394366197	MIX
200	87.7	74	63.4	60.5	12.6	9.4	72.5334303395359	81.7262165777627	179	611	268	0.798136645962733	0.166666666666667	2500	80.269635126778	61.9160613397901	10.7672727272727	MIX
5000	92	70.7	72.1	62.4	18.1	11.1	74.7082054639519	84.7265221878225	257	914	181	0.863354037267081	0.333333333333333	2500	79.9557467732022	66.9002230483271	13.7609589041096	MIX
4000	91.7	70.8	71.7	62.6	18	11.2	74.5991005674674	84.3434343434343	255	877	185	0.861801242236025	0.333333333333333	2500	79.9059692307692	66.8416976917349	13.8082191780822	MIX
500	90.2	73.8	67.4	63.1	14.8	10.5	74.2680789216991	82.951054535206	210	681	237	0.816770186335404	0.388888888888889	2500	81.18	65.1791570881226	12.2845849802372	MIX
1500	91.6	71.5	71.3	62.4	17.7	11.4	74.6441150108964	83.8975694444444	251	813	192	0.855590062111801	0.277777777777778	2500	80.3114653586757	66.5537771129394	13.8680412371134	MIX
1000	91.1	73.1	70	63.4	17.6	12	75.2271380888673	84.7665270728754	250	736	210	0.830745341614907	0.5	2500	81.1133982947625	66.5367316341829	14.2702702702703	MIX
3000	91.7	70.7	71.9	62.3	18	11.2	74.9876803944564	84.7873107426099	255	876	182	0.855590062111801	0.388888888888889	2500	79.8422413793104	66.7566318926975	13.8082191780822	MIX
800	90.6	73.9	69.4	63.5	16.5	11.5	74.9805835691428	84.3289080219002	234	700	221	0.827639751552795	0.388888888888889	2500	81.4023100303951	66.3190368698269	13.5535714285714	MIX
200	87.4	74.4	61.1	61	12.4	9.1	71.9448507021095	80.6213760910975	176	636	268	0.748447204968944	0.5	2500	80.3777503090235	61.049959049959	10.4967441860465	MIX
2000	91.5	70.9	71.2	62.2	17.3	10.9	74.5883983882817	84.3811394891945	245	853	185	0.847826086956522	0.444444444444444	2500	79.8934729064039	66.3964017991004	13.3737588652482	MIX
4000	91.8	70.7	71.6	62	18.2	11.2	74.3324049348085	84.5117845117845	258	887	181	0.860248447204969	0.388888888888889	2500	79.8801230769231	66.4550898203593	13.8666666666667	MIX
1000	91.6	70.9	70.1	61.7	17.9	11.2	74.6930944426637	84.298299777273	254	859	185	0.843167701863354	0.444444444444444	2500	79.9315692307692	65.6323216995448	13.7786941580756	MIX
500	90.8	73.2	68.5	62.3	16.5	11.1	74.9983139564955	84.5075976845152	234	741	210	0.826086956521739	0.388888888888889	2500	81.0556097560976	65.2530581039755	13.2717391304348	MIX
800	91.5	70.8	69.3	61.1	16.6	10.5	74.1311841739202	83.6909871244635	236	861	193	0.830745341614907	0.388888888888889	2500	79.8299445471349	64.9421779141104	12.8634686346863	MIX
5000	91.9	70.7	72.1	62.4	18.2	11.2	74.769427587317	84.8270559716343	259	915	180	0.863354037267081	0.333333333333333	2500	79.9179581795818	66.9002230483271	13.8666666666667	MIX
200	88.5	75	62.9	60.3	13	9.3	72.655651409939	80.9741470473646	185	637	233	0.791925465838509	0.333333333333333	2500	81.1926605504587	61.5725649350649	10.8430493273543	MIX
3000	91.9	70.5	71.6	61.8	18.4	11.4	74.2646207464539	84.2900302114804	261	892	190	0.860248447204969	0.5	2500	79.7900246305419	66.3400299850075	14.0778523489933	MIX
1500	91.8	70.6	70.8	61.6	17.5	10.9	74.3499915836422	83.9402698215648	249	871	180	0.850931677018634	0.388888888888889	2500	79.8162561576355	65.8803625377643	13.4330985915493	MIX
2000	91.7	70.2	70.9	61.2	17.3	10.6	74.0623656159583	83.4625322997416	246	908	188	0.854037267080745	0.388888888888889	2500	79.5224212476838	65.6938682816048	13.1455197132616	MIX
3000	91.9	66.2	70.4	58.1	15.4	8.4	72.4989675012687	81.6767828990722	219	1173	180	0.857142857142857	0.444444444444444	5000	76.9611638203668	63.6613229571985	10.8705882352941	MIX
5000	92.1	66.6	71.2	58.7	16.3	8.9	73.2750937129055	82.1527532003418	231	1174	175	0.858695652173913	0.333333333333333	5000	77.3013232514178	64.3485758275597	11.5134920634921	MIX
1000	91.3	67.8	69.2	58.5	15.5	8.9	72.4247085523881	81.4328485885372	220	1053	190	0.854037267080745	0.444444444444444	5000	77.8144563167819	63.4017227877839	11.3073770491803	MIX
500	90.3	69.9	67.5	59.2	14.2	8.9	72.1355410101577	80.188679245283	201	882	212	0.816770186335404	0.388888888888889	5000	78.8011235955056	63.078137332281	10.9419913419913	MIX
800	90.8	68.9	68.6	59.1	16	9.7	72.7214218679499	81.4710778193924	227	958	206	0.850931677018634	0.444444444444444	5000	78.3484032561052	63.4966327329679	12.0778210116732	MIX
4000	92.1	66.5	70.9	58.6	16.4	9	73.1975397190132	82.416990182975	233	1168	174	0.860248447204969	0.277777777777778	5000	77.233921815889	64.1658687258687	11.6220472440945	MIX
2000	91.6	67.1	69.9	58.5	15.5	8.8	72.4783171455562	81.46603190154	221	1079	189	0.847826086956522	0.333333333333333	5000	77.4588531821046	63.6939252336449	11.2263374485597	MIX
1500	91.5	67.7	70.1	59	15.8	9.3	72.5709427481263	81.3124108416548	226	1017	187	0.857142857142857	0.333333333333333	5000	77.8209798994975	64.0728117738187	11.7083665338645	MIX
200	88.3	71.7	63.4	58.8	12	8.4	71.4877403127017	80.2013422818792	171	724	254	0.795031055900621	0.166666666666667	5000	79.138875	61.0134206219313	9.88235294117647	MIX
1500	92	67.9	70.9	59.2	16.3	9.5	73.8396701718222	82.3371500023901	232	1045	184	0.869565217391304	0.333333333333333	5000	78.1338336460288	64.523904688701	12.0038759689922	MIX
5000	92.2	66.7	71.3	58.8	16.3	8.9	73.3366512985084	82.2007620252402	231	1172	176	0.861801242236025	0.333333333333333	5000	77.4039018250472	64.4495003843197	11.5134920634921	MIX
1000	91.6	69.6	69.9	60.3	16.8	10.3	73.6885135902563	82.8552368245497	238	926	197	0.850931677018634	0.5	5000	79.0987593052109	64.7460829493088	12.770479704797	MIX
3000	92	67.1	71.1	58.9	17.5	9.9	73.2478794892248	82.2379873222321	248	1086	175	0.860248447204969	0.277777777777778	5000	77.6015084852294	64.4275384615385	12.6459854014599	MIX
800	91	70.1	68.9	60.1	15.4	9.6	73.4717456496054	82.7485380116959	218	904	212	0.840062111801242	0.444444444444444	5000	79.1942892613284	64.1998449612403	11.8272	MIX
500	90.6	70.6	67.1	60	13.9	9	72.9725832026938	80.8756028328397	199	850	221	0.81832298136646	0.444444444444444	5000	79.3593052109181	63.3516915814319	10.9257641921397	MIX
4000	92	67	71	59	16.5	9.3	73.2543501879316	82.3093383079118	235	1112	178	0.855590062111801	0.388888888888889	5000	77.5345911949686	64.4461538461538	11.8953488372093	MIX
200	88.1	71.5	61.3	58.7	11.8	7.9	70.8423923275855	79.6078431372549	167	780	254	0.762422360248447	0.444444444444444	5000	78.9367167919799	59.9718333333333	9.46395939086294	MIX
2000	92	67.1	70.8	58.7	16.1	9	73.3588051076984	82.3664296540656	228	1101	176	0.857142857142857	0.388888888888889	5000	77.6015084852294	64.1847104247104	11.5458167330677	MIX
4000	92.1	66.7	70.8	58.7	16.5	9.2	72.84255946196	82.1084204088537	235	1134	182	0.854037267080745	0.333333333333333	5000	77.3686397984887	64.1847104247104	11.8132295719844	MIX
5000	92.1	66.7	71.2	58.7	16.3	8.9	73.2761889876628	82.1114990749293	231	1171	176	0.863354037267081	0.277777777777778	5000	77.3686397984887	64.3485758275597	11.5134920634921	MIX
1500	92	67.1	70.2	58.5	16.4	9.2	72.9344915902061	82.2154471544715	233	1109	182	0.855590062111801	0.5	5000	77.6015084852294	63.8181818181818	11.7875	MIX
500	91.4	69.5	68	58.6	14.4	8.8	73.1280877003718	82.0950719773912	204	921	194	0.824534161490683	0.444444444444444	5000	78.9596022374145	62.9510268562401	10.9241379310345	MIX
800	92	67.3	68.7	57.9	15.4	8.7	72.1511885272393	81.4310630961588	218	1073	188	0.833850931677019	0.444444444444444	5000	77.7350910232266	62.839336492891	11.1186721991701	MIX
3000	92.1	66.6	70.8	58.4	16.2	9	72.5230431017854	81.4824480696415	230	1128	189	0.861801242236025	0.388888888888889	5000	77.3013232514178	64.0049535603715	11.5714285714286	MIX
2000	91.9	66.5	70.1	58.1	16.3	9	72.035588364598	80.9980806142035	232	1140	183	0.850931677018634	0.444444444444444	5000	77.1635101010101	63.5383775351014	11.596837944664	MIX
1000	92	67.4	69.5	58.6	16.3	9.3	73.0637432539313	82.0224719101124	232	1077	177	0.84472049689441	0.444444444444444	5000	77.801756587202	63.5862607338017	11.84296875	MIX
200	88.9	71.2	62.2	56.9	11.8	7.6	70.1315288048587	77.8430677147604	167	815	225	0.787267080745342	0.5	5000	79.071580262336	59.4320738874895	9.24536082474227	MIX
2000	91.7	64.6	69.3	56.4	14.9	7.9	71.37195470211	79.7185271918446	212	1233	177	0.84472049689441	0.444444444444444	7500	75.8006397952655	62.1880668257757	10.3254385964912	MIX
3000	92.1	63.9	69.8	56	14.8	7.5	71.3702366091401	79.7653454445362	210	1337	179	0.858695652173913	0.444444444444444	7500	75.4511538461538	62.1430842607313	9.95515695067265	MIX
4000	92.1	64	70.2	56.5	15.9	8.2	72.053470511823	80.8829868761376	226	1330	175	0.857142857142857	0.277777777777778	7500	75.5208199871877	62.6093133385951	10.8199170124481	MIX
