N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
200	87.9	63.3	59.5	52.3	10.4	5.7	68.3269294107737	75.6272401433692	148	1195	221	0.785714285714286	0.333333333333333	10000	73.5988095238095	55.6681574239714	7.3639751552795	BUSCO
2000	90.7	52.2	65.4	44.8	12	4.8	64.7633828652945	70.2702702702703	170	2031	185	0.843167701863354	0.277777777777778	10000	66.2636808957313	53.1745916515426	6.85714285714286	BUSCO
200	85.4	55.1	57.5	44.4	9.2	4.3	63.071771099448	66.5343915343915	131	1639	256	0.791925465838509	0.277777777777778	10000	66.9827758007117	50.107948969578	5.86074074074074	BUSCO
6000	91	50.9	66.3	43.9	12.3	4.7	63.4346468261537	67.7740863787375	175	2164	175	0.841614906832298	0.333333333333333	10000	65.2840028188865	52.8234119782214	6.80117647058824	BUSCO
4000	91.3	51.4	66.2	44	12.3	4.8	64.2707643616176	68.6599501679125	175	2080	178	0.846273291925466	0.5	10000	65.7718290119131	52.8638838475499	6.90526315789474	BUSCO
8000	90.9	51.2	66.3	44	11.8	4.5	63.4355515431534	68.2089845143795	167	2137	181	0.835403726708075	0.444444444444444	10000	65.5042927515834	52.8957388939257	6.51533742331288	BUSCO
7000	90.8	50.7	66.1	43.6	12.1	4.6	63.0840094971912	67.6703873184222	172	2176	181	0.830745341614907	0.388888888888889	10000	65.0679858657244	52.5425706472197	6.66586826347305	BUSCO
800	91.2	54.8	64.4	46.7	11.5	5	66.1282451195612	71.5555555555555	163	1781	195	0.841614906832298	0.222222222222222	10000	68.4624657534247	54.1400540054005	6.96969696969697	BUSCO
3000	91.3	52.5	66.2	45	12.3	5	64.9264850576125	70.5382436260623	175	1990	182	0.843167701863354	0.555555555555556	10000	66.6655076495132	53.5791366906475	7.10982658959538	BUSCO
500	91	57.1	64.5	48.8	11.5	5.2	67.2397999548874	73.1182795698925	163	1668	211	0.822981366459627	0.555555555555556	10000	70.1701553004727	55.5622241835834	7.16167664670659	BUSCO
5000	91.4	50.7	66.5	43.6	12	4.5	63.6117959583104	68.1299364284338	171	2225	175	0.840062111801242	0.444444444444444	10000	65.2213933849402	52.6684831970936	6.54545454545455	BUSCO
1500	90.9	53.6	65.6	45.9	12.3	5.1	65.8682721807394	71.294542580925	175	1931	182	0.847826086956522	0.277777777777778	10000	67.4358477508651	54.0096860986547	7.21034482758621	BUSCO
1000	91.2	54.4	65.3	46.6	12.3	5.3	65.7503605073056	71.2217194570136	174	1799	184	0.821428571428571	0.5	10000	68.1494505494505	54.3874888293119	7.40795454545454	BUSCO
2000	90.3	51.6	65.6	44	11.8	4.7	64.2561113058547	68.9320388349515	168	2049	186	0.846273291925466	0.444444444444444	10000	65.6727272727273	52.6715328467153	6.72242424242424	BUSCO
1000	87.3	51.8	65.3	44.2	12.3	5	63.6166673869335	67.7667437993052	175	2011	205	0.83695652173913	0.333333333333333	10000	65.0199856218548	52.7170776255708	7.10982658959538	BUSCO
3000	90.3	51.9	65.8	44.5	12	4.8	64.4284535338735	68.8971499380421	170	2054	183	0.843167701863354	0.388888888888889	10000	65.9151898734177	53.0933816863101	6.85714285714286	BUSCO
5000	90.4	51.7	66	44.4	12.6	5	64.0273771320928	68.7394957983193	179	2066	176	0.83695652173913	0.388888888888889	10000	65.7801548205489	53.0869565217391	7.15909090909091	BUSCO
1500	89.1	51.8	65.4	44.2	12.7	5.1	64.3434371458132	68.9320388349515	180	2042	199	0.838509316770186	0.333333333333333	10000	65.5128459900639	52.7496350364964	7.27752808988764	BUSCO
500	87.4	53.9	64.9	45.6	10.8	4.6	64.5667870487458	68.7581991651759	153	1903	225	0.81832298136646	0.333333333333333	10000	66.678839348903	53.5645248868778	6.45194805194805	BUSCO
8000	90.9	51.2	66.3	44	11.8	4.5	63.4355515431534	68.2089845143795	167	2137	181	0.835403726708075	0.444444444444444	10000	65.5042927515834	52.8957388939257	6.51533742331288	BUSCO
4000	90.6	51.3	65.9	44	12.4	4.8	64.0213980408832	68.3800011715775	176	2145	176	0.841614906832298	0.388888888888889	10000	65.507822410148	52.7679708826206	6.92093023255814	BUSCO
