N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
500	91.6	71.2	68.9	61.4	17.4	11.2	74.8042372382269	83.986562150056	247	819	191	0.838509316770186	0.388888888888889	2500	80.1218673218673	64.9341519570223	13.627972027972	PacBio
1500	92.6	69.3	70.9	60.6	17	10.2	74.0134780869139	83.6713100403441	242	976	188	0.863354037267081	0.444444444444444	2500	79.2733786287832	65.3466159695818	12.75	PacBio
800	92.2	71.3	70.7	62.2	16.8	10.8	75.4386755440902	84.8598130841121	239	835	191	0.858695652173913	0.222222222222222	2500	80.4141896024465	66.1781790820166	13.1478260869565	PacBio
7000	93.1	69.7	72.7	61.9	18.4	11.1	75.3691031031512	85.0799289520426	261	954	181	0.874223602484472	0.333333333333333	2500	79.7183046683047	66.8667161961367	13.8467796610169	PacBio
4000	93.1	69.3	72.5	61.3	18.5	10.9	74.9843014898567	85.0085178875639	262	985	180	0.874223602484472	0.333333333333333	2500	79.4560344827586	66.4312406576981	13.7176870748299	PacBio
6000	93.1	69.6	72.6	61.8	18.3	11	75.2381083228227	84.8484848484848	260	960	178	0.881987577639752	0.388888888888889	2500	79.6528580208974	66.7660714285714	13.740614334471	PacBio
2000	92.9	70.5	72.1	62.2	18.5	11.7	75.1547039875702	85.0106491624695	262	846	186	0.869565217391304	0.333333333333333	2500	80.1646266829865	66.7851079672375	14.3344370860927	PacBio
7000	93.1	69.6	72.6	61.8	18.4	11	75.3079824670974	84.9800866966704	261	959	181	0.874223602484472	0.333333333333333	2500	79.6528580208974	66.7660714285714	13.7687074829932	PacBio
800	92.4	69.8	70	60.7	16.3	10.2	74.4628675856322	83.8772984067201	233	888	196	0.866459627329193	0.388888888888889	2500	79.5255240443897	65.0191277735272	12.5479245283019	PacBio
500	91.6	69.8	67.6	60	16.1	9.9	72.8970744006253	81.8443804034582	230	915	191	0.846273291925466	0.444444444444444	2500	79.2277571251549	63.5736677115987	12.2607692307692	PacBio
6000	93	69.4	72.4	61.6	18.7	11.2	75.5776366721015	85.1509115408582	266	979	176	0.877329192546584	0.388888888888889	2500	79.4852216748769	66.564776119403	14.009364548495	PacBio
4000	93	69.8	72.7	61.9	18.9	11.5	75.534217374382	85.8208955223881	268	923	175	0.87111801242236	0.333333333333333	2500	79.7469287469287	66.8667161961367	14.2993421052632	PacBio
200	89.4	69	62.2	57	12.5	8.1	70.3366059816019	78.6510173448264	178	854	247	0.777950310559006	0.5	2500	77.8863636363636	59.4865771812081	9.83009708737864	PacBio
1000	92.5	70	70.3	61.1	16.8	10.5	74.6516660025446	84.0175953079179	238	874	188	0.869565217391304	0.444444444444444	2500	79.6923076923077	65.3779299847793	12.9230769230769	PacBio
5000	93	69.7	72.4	61.8	18.6	11.2	75.1680862232276	84.9772382397572	264	954	179	0.864906832298137	0.333333333333333	2500	79.6816226183159	66.6813710879285	13.9812080536913	PacBio
1500	92.8	70.4	71.7	62.1	17.5	11.2	75.35289620484	85.531914893617	249	850	198	0.866459627329193	0.333333333333333	2500	80.0627450980392	66.5556053811659	13.6585365853659	PacBio
3000	93	69.5	72.5	61.4	17.9	10.9	75.2812284111976	85.0799289520426	254	932	183	0.87111801242236	0.388888888888889	2500	79.5507692307692	66.4899178491412	13.5493055555556	PacBio
500	90.7	74	68.5	62.8	15.6	10.8	74.9897765395986	83.6482145305675	221	709	216	0.84472049689441	0.444444444444444	2500	81.5033394049788	65.5262757044935	12.7636363636364	PacBio
5000	93	70.2	72.7	62.4	18.5	11.3	75.5842659962218	85.1569747217069	262	929	183	0.875776397515528	0.277777777777778	2500	80.0073529411765	67.1573649148779	14.0302013422819	PacBio
800	91.5	71.3	69.3	61.4	16	10.3	74.9605515386673	84.3524919206411	227	858	211	0.854037267080745	0.5	2500	80.1468058968059	65.111247130834	12.532319391635	PacBio
