	gene_id	number_isoforms
127	101349880	12
128	101346882	12
129	101354291	12
130	101353781	12
131	101347884	12
132	101359045	12
133	101344455	12
134	101349616	12
135	101341463	12
136	101345062	12
137	101342534	12
138	101346526	12
139	101340362	12
140	101358411	11
141	101352621	11
142	101347769	11
143	101353980	11
144	101340991	11
145	101360419	11
146	101353480	11
147	101340597	11
148	101344700	11
149	101346464	11
150	101356623	11
151	101351397	11
152	101352971	11
153	101348136	11
154	101357587	11
155	101357035	11
156	101358366	11
157	101357604	11
158	101357460	11
159	101343375	11
160	101344576	11
161	101350662	11
162	101358932	11
163	101353731	11
164	101357356	11
165	101341619	11
166	101353408	11
167	101349940	11
168	101359853	10
169	101351639	10
170	101341684	10
171	101340867	10
172	101355240	10
173	101341688	10
174	101359227	10
175	101354748	10
176	101349488	10
177	101340966	10
178	101348878	10
179	101350076	10
180	101341514	10
181	101343565	10
182	101358161	10
183	101345311	10
184	101346763	10
185	101342053	10
186	101344803	10
187	101344021	10
188	105756759	10
189	101356668	10
190	101355836	10
191	101350244	10
192	101361835	10
193	101351144	10
194	101360185	10
195	101341529	10
196	101341455	10
197	101350148	10
198	101351714	10
199	101354791	10
200	101359018	10
201	101355772	10
202	101342560	10
203	101347554	10
204	101357397	10
205	101345058	10
206	101341428	10
207	101356731	10
208	101347071	10
209	101359897	10
210	101350797	10
211	101354357	10
212	101349070	10
213	101351701	10
214	101350518	10
215	101345520	10
216	101344210	10
217	101342342	10
218	101356561	10
219	101353979	10
220	101342343	10
221	101342861	9
222	101341448	9
223	101360700	9
224	101358805	9
225	101359216	9
226	101361816	9
227	101351209	9
228	101341547	9
229	101351546	9
230	101357864	9
231	101346417	9
232	101360193	9
233	101351865	9
234	101350480	9
235	101351443	9
236	101341853	9
237	101352301	9
238	101347139	9
239	101355235	9
240	101353084	9
241	101350021	9
242	101345892	9
243	101347995	9
244	101342450	9
245	101352151	9
246	101350139	9
247	101350670	9
248	101352493	9
249	101345896	9
250	101361617	9
251	101360936	9
252	101343558	9
253	101352480	9
254	101358089	9
255	101360283	9
256	101341194	9
257	101343395	9
258	101358108	9
259	101352185	9
260	101350043	9
261	101346319	9
262	101340306	9
263	101355354	9
264	101346958	9
265	101345706	9
266	101351486	9
267	101353035	9
268	101348453	9
269	101351848	9
270	101359301	9
271	101360075	9
272	101340446	9
273	101354897	9
274	101348210	9
275	101360162	9
276	101342061	9
277	101357123	9
278	101358195	9
279	101354237	9
280	101341071	9
281	101348095	9
282	101359307	9
283	101349055	9
284	101358305	9
285	101344591	9
286	101357905	9
287	101348698	9
288	101360205	9
289	101350871	9
290	101355086	9
291	101361917	9
292	101352468	9
293	101353387	9
294	101341096	9
295	101344311	9
296	101355314	9
297	101341395	9
298	101350264	9
299	101347095	9
300	101360990	9
301	101352287	9
302	101357440	9
303	101347558	9
304	101357028	9
305	101361177	9
306	101359540	9
307	101351063	9
308	101356641	9
309	101352046	9
310	101354467	9
311	101357467	9
312	101354490	9
313	101352368	9
314	101357533	9
315	101349597	8
316	101344145	8
317	101347605	8
